Modulation,Data_Aided,CPR,lspan,BER,SER,SNR,EVM,Qfactor
16,True,bps,10,0.0002972222222222222,0.0011888888888888889,18.99861458283374,0.012607623750794718,5.358175721183427
16,True,bps,20,0.00023333333333333333,0.0009222222222222222,19.250384055204194,0.011909200583111361,5.4396803816841155
16,True,bps,40,0.0001722222222222222,0.0006888888888888888,19.508418437284153,0.011233659336266045,5.538046685034553
16,True,bps,80,0.00014722222222222223,0.0005888888888888889,19.620868899665506,0.010951920171619712,5.587252832059656
16,True,ddpll,10,0.00035277777777777776,0.0014,18.800937180555163,0.013190204086602533,5.298679179430888
16,True,ddpll,20,0.00025833333333333334,0.0010222222222222223,19.05846935960786,0.012442769297442202,5.405751451789927
16,True,ddpll,40,0.0002,0.0008,19.323691487878513,0.011717431324610755,5.490135425630951
16,True,ddpll,80,0.00017777777777777779,0.0007111111111111111,19.436062178401993,0.011423580371610042,5.527957026140129
16,False,bps,10,0.0033194444444444443,0.012977777777777777,17.34232034665694,0.01835953261849147,4.336794770661226
16,False,bps,20,0.07668333333333334,0.15653333333333333,4.105448002186637,0.35082649710500347,1.5464917105802403
16,False,bps,40,0.07531944444444444,0.15184444444444445,4.101128824505028,0.3511391772621114,1.5754091475428276
16,False,bps,80,0.0771,0.16342222222222222,5.532209174972975,0.26020244502078377,1.537697428664237
16,False,ddpll,10,0.0032055555555555557,0.012611111111111111,17.21078133065594,0.01892128561534354,4.355224780133621
16,False,ddpll,20,0.003033333333333333,0.011944444444444445,17.40203081996367,0.01811112946979318,4.3840882566657235
16,False,ddpll,40,0.0028472222222222223,0.011222222222222222,17.595500782903496,0.017327767148571867,4.416756526996016
16,False,ddpll,80,0.002738888888888889,0.0108,17.656899724960603,0.017086932038172,4.436550530436293
