P_launch_dBm,Modulation,BER,SER,SNR,EVM,Qfactor
-14.0,16,0.0007027777777777778,0.0028,17.585596959366296,0.017372127449162795,5.04267977000599
-12.0,16,0.0004027777777777778,0.0016,18.19620796405279,0.015125887988848646,5.251587177838262
-10.0,16,0.0002888888888888889,0.0011444444444444445,18.63897214303716,0.013687148695057346,5.367903291206661
-8.0,16,0.00020833333333333335,0.0008333333333333334,18.94515432356461,0.012776465580491843,5.476880948442293
-6.0,16,0.00016944444444444445,0.0006777777777777778,19.14576729779504,0.012214415039784671,5.54319718949257
-4.0,16,0.00016944444444444445,0.0006777777777777778,19.269554822457028,0.0118803979206279,5.54319718949257
-2.0,16,0.00015833333333333332,0.0006333333333333333,19.341577306082225,0.011690277421796734,5.564556664345134
0.0,16,0.0001611111111111111,0.0006444444444444444,19.360488753238705,0.011641750028047768,5.559098302379153
2.0,16,0.00016666666666666666,0.0006666666666666666,19.30535135960035,0.011787678161746064,5.548421061125369
4.0,16,0.00021944444444444444,0.0008777777777777778,19.102948024992628,0.012339430589520731,5.45989932658739
6.0,16,0.0004277777777777778,0.0017111111111111112,18.590100054830092,0.013857587690860358,5.229872296564071
8.0,16,0.0018166666666666667,0.007266666666666667,17.458673338889184,0.017915202986735327,4.636477109975275
-14.0,16,0.0006833333333333333,0.002711111111111111,17.570518922746096,0.01743098455484628,5.053670606354965
-12.0,16,0.0004166666666666667,0.0016666666666666668,18.198020719600255,0.015117717176921367,5.239387303691558
-10.0,16,0.0002861111111111111,0.0011444444444444445,18.632064987215397,0.013706958900158928,5.37119899052637
-8.0,16,0.00023055555555555554,0.0009222222222222222,18.93018590394166,0.012818201322234117,5.443640046070569
-6.0,16,0.00020277777777777777,0.0008111111111111111,19.132708454514585,0.012249241180805604,5.485665386643923
-4.0,16,0.0001722222222222222,0.0006888888888888888,19.261145326459545,0.011901813052526578,5.538046685034553
-2.0,16,0.0001638888888888889,0.0006555555555555556,19.33534983028794,0.011705882690579643,5.553720620412705
0.0,16,0.0001611111111111111,0.0006444444444444444,19.354704510979268,0.011655691217233402,5.559098302379153
2.0,16,0.00016666666666666666,0.0006666666666666666,19.302884404773813,0.011793450305166975,5.548421061125369
4.0,16,0.00024166666666666667,0.0009666666666666667,19.105524745479002,0.012331795040178981,5.428038980926969
6.0,16,0.0004583333333333333,0.0018333333333333333,18.593825908154706,0.013845248351442374,5.204741260326401
8.0,16,0.0017861111111111111,0.007144444444444445,17.45788045378154,0.01791812773690058,4.6443841670064385
-14.0,16,0.0007194444444444444,0.0028555555555555556,17.57645534974201,0.017408917947927153,5.033458555920917
-12.0,16,0.0004027777777777778,0.0016111111111111111,18.195488966570675,0.015128118735639306,5.251587177838262
-10.0,16,0.0002777777777777778,0.0011111111111111111,18.63786204044468,0.013690560277827241,5.381252512751765
-8.0,16,0.00022777777777777778,0.0009111111111111111,18.94152508530947,0.0127868024229451,5.447640808398152
-6.0,16,0.00019166666666666667,0.0007666666666666667,19.141776909892826,0.01222514176900173,5.503873507584908
-4.0,16,0.0001722222222222222,0.0006888888888888888,19.26895857011079,0.011882093500373697,5.538046685034553
-2.0,16,0.0001611111111111111,0.0006444444444444444,19.343861249485894,0.011684773226237859,5.559098302379153
0.0,16,0.00016944444444444445,0.0006777777777777778,19.358660781710157,0.011646513746619593,5.54319718949257
2.0,16,0.00016944444444444445,0.0006777777777777778,19.303240775192595,0.01179358687692602,5.54319718949257
4.0,16,0.00023055555555555554,0.0009222222222222222,19.103828692064972,0.01233743360251236,5.443640046070569
6.0,16,0.000425,0.0017,18.59096558309946,0.013855617871627049,5.232231310547469
8.0,16,0.0017944444444444444,0.007177777777777778,17.4540826751184,0.017934101833772243,4.6422170009447585
-14.0,16,0.0007416666666666666,0.0029222222222222223,17.567642053734346,0.017441232531003124,5.0214358539902975
-12.0,16,0.0004277777777777778,0.0017,18.18034666594976,0.015177280513700726,5.229872296564071
-10.0,16,0.0003,0.0012,18.626461968889853,0.013722819856255576,5.354984820359824
-8.0,16,0.00024722222222222224,0.000988888888888889,18.924090774853262,0.012834910525523227,5.420467562557762
-6.0,16,0.0002138888888888889,0.0008555555555555556,19.127349987009442,0.01226281809660847,5.468295465414413
-4.0,16,0.00019166666666666667,0.0007666666666666667,19.257488355708436,0.011910952482354445,5.503873507584908
-2.0,16,0.00019722222222222222,0.0007888888888888889,19.32909119205067,0.011722131913633388,5.494659160915748
0.0,16,0.00019444444444444443,0.0007777777777777777,19.348365524380764,0.011672471600300436,5.499238024433762
2.0,16,0.00017777777777777779,0.0007111111111111111,19.29470464174552,0.01181539111746393,5.527957026140129
4.0,16,0.00025277777777777777,0.001011111111111111,19.095586878189405,0.012359207962424169,5.413040352121334
6.0,16,0.00046666666666666666,0.0018666666666666666,18.58746803472165,0.013865761529336659,5.198132889000545
8.0,16,0.0017722222222222221,0.0070888888888888885,17.450145164365065,0.017949697598751185,4.6480142112303
-14.0,16,0.0007833333333333334,0.003111111111111111,17.55495950033898,0.01749240172411807,4.999677106858462
-12.0,16,0.0004694444444444444,0.0018555555555555556,18.176100337261037,0.015192374156497775,5.195952175067187
-10.0,16,0.00033611111111111114,0.0013444444444444445,18.61985588470121,0.01374413824757644,5.315638157430199
-8.0,16,0.00023333333333333333,0.0009333333333333333,18.92121321152547,0.012843291433576584,5.4396803816841155
-6.0,16,0.00018611111111111112,0.0007444444444444445,19.121217958872297,0.012279759986881137,5.513320616212201
-4.0,16,0.000175,0.0007,19.257533378253264,0.011910614410081044,5.532967334673192
-2.0,16,0.00016944444444444445,0.0006777777777777778,19.330329608906617,0.011718416661546683,5.54319718949257
