Modulation,Data_Aided,CPR,mzmScale,BER,SER,SNR,EVM,Qfactor
16,True,bps,0.3,5.555555555555556e-05,0.00022222222222222223,19.44682018457225,0.01143244579082961,5.871440891786431
16,True,bps,0.5,6.38888888888889e-05,0.0002555555555555556,19.375842377457573,0.011624249321289847,5.8327845706990855
16,True,bps,0.7,7.222222222222222e-05,0.0002888888888888889,19.269552540427167,0.01191759528649323,5.79832889429428
16,True,bps,0.9000000000000001,8.888888888888889e-05,0.00035555555555555557,19.114372116546573,0.012356519832989969,5.738767267101811
16,True,bps,1.1,0.00011944444444444444,0.00047777777777777776,18.899590775395797,0.012987274133629904,5.651257340433668
16,True,bps,1.3,0.00018055555555555555,0.0007222222222222222,18.613983411681495,0.013870996261698494,5.523013741885775
16,True,bps,1.5000000000000002,0.0002722222222222222,0.0010888888888888888,18.272057742436775,0.01500355820789187,5.388098795930835
16,True,bps,1.7000000000000002,0.0004638888888888889,0.0018555555555555556,17.850842008263623,0.01651800315467533,5.200324558831264
16,True,ddpll,0.3,5.555555555555556e-05,0.00022222222222222223,19.363983058788985,0.011649800685600864,5.871440891786431
16,True,ddpll,0.5,6.38888888888889e-05,0.0002555555555555556,19.29291466678768,0.011845429780148358,5.8327845706990855
16,True,ddpll,0.7,8.055555555555556e-05,0.0003222222222222222,19.18226327965286,0.01215620630457459,5.767197789338273
16,True,ddpll,0.9000000000000001,0.0001,0.0004,19.021011109237016,0.012621135121145814,5.704281034803938
16,True,ddpll,1.1,0.0001361111111111111,0.0005444444444444444,18.803862226849624,0.013272314182519304,5.6114827017938875
16,True,ddpll,1.3,0.0002111111111111111,0.0008444444444444444,18.51818143326887,0.014175523778094376,5.472563955336107
16,True,ddpll,1.5000000000000002,0.00033611111111111114,0.0013444444444444445,18.16459674384025,0.015373342836717567,5.3156381574301985
16,True,ddpll,1.7000000000000002,0.0005166666666666667,0.0020555555555555557,17.739331546734906,0.016940752618984617,5.160446535683681
16,False,bps,0.3,0.0013555555555555556,0.005333333333333333,18.012334631353387,0.015777057911611478,4.769367673515122
16,False,bps,0.5,0.0013972222222222222,0.0055,17.956656670241202,0.015982369158752004,4.755969700458735
16,False,bps,0.7,0.0014805555555555555,0.005833333333333334,17.862446226799953,0.01633519446181102,4.730117528651089
16,False,bps,0.9000000000000001,0.0015888888888888888,0.006266666666666667,17.73546160953647,0.016822677731352004,4.69821465153421
16,False,bps,1.1,0.001736111111111111,0.006855555555555556,17.563417679888634,0.017504505794539205,4.657560390317368
16,False,bps,1.3,0.0019166666666666666,0.007588888888888889,17.336885843040733,0.018442294996209564,4.611323382806821
16,False,bps,1.5000000000000002,0.002263888888888889,0.008911111111111111,17.0533145411688,0.019683081561530202,4.531409980479615
16,False,bps,1.7000000000000002,0.002786111111111111,0.010933333333333333,16.696412835933824,0.021359004840744576,4.427848180018284
16,False,ddpll,0.3,0.0013444444444444445,0.005311111111111111,17.921006754820404,0.01611027721330151,4.772996873076351
16,False,ddpll,0.5,0.0013972222222222222,0.005522222222222223,17.86034291894709,0.016338449451718605,4.755969700458735
16,False,ddpll,0.7,0.0014666666666666667,0.0058,17.768076356220412,0.016691611114412305,4.734342970346665
16,False,ddpll,0.9000000000000001,0.0015833333333333333,0.006266666666666667,17.638828165731805,0.01719843140304025,4.699807273597225
16,False,ddpll,1.1,0.0017277777777777777,0.006833333333333334,17.465573524938783,0.017900304017952454,4.659785979994229
16,False,ddpll,1.3,0.0019194444444444445,0.007588888888888889,17.238429827986323,0.018861684264674855,4.6106398129884045
16,False,ddpll,1.5000000000000002,0.0022694444444444446,0.008955555555555555,16.949940075668245,0.020153177316905725,4.53021315357814
16,False,ddpll,1.7000000000000002,0.0027333333333333333,0.01071111111111111,16.5991055040343,0.02183849488852235,4.437582066387014
