Modulation,Data_Aided,CPR,mzmScale,BER,SER,SNR,EVM,Qfactor
64,True,bps,0.3,0.006508900104707114,0.034394522288497514,20.56523779098173,0.009003056767250937,3.9502603331292945
64,True,bps,0.5,0.007520676713843692,0.04060636007482441,20.33392686166819,0.009475731652030967,3.858531690296956
64,True,bps,0.7,0.007891269309050694,0.042706384780997426,20.192135764149416,0.009799016856679046,3.8272033288828573
64,True,bps,0.9000000000000001,0.00879422110848363,0.04814174284403346,19.911241846092462,0.01045739473320093,3.7551184460173213
64,True,bps,1.1,0.011358957164201931,0.06307133025094414,19.518250758041898,0.011434151101249098,3.575814445904445
64,True,bps,1.3,0.013597218790809303,0.07595383475099707,19.066799556833672,0.01267154599242078,3.4413977340864657
64,True,bps,1.5000000000000002,0.015979599759997177,0.08993046977023259,18.812821700202015,0.013452238129052104,3.31411211018354
64,True,bps,1.7000000000000002,0.020544359345404065,0.11633078036212191,18.291399236398526,0.01512734650373713,3.101904794108199
64,True,ddpll,0.3,0.00678537394557583,0.036141601665901954,20.480120291401313,0.009176110881045448,3.9242068257114497
64,True,ddpll,0.5,0.007753032388616337,0.042106377722090846,20.255925456475335,0.009642885851947969,3.83876111545504
64,True,ddpll,0.7,0.008444216990788126,0.04605936540429888,20.09451399166949,0.010015628484823479,3.782393519946177
64,True,ddpll,0.9000000000000001,0.00915893128154449,0.050506476546782905,19.808061859725974,0.010701660947910684,3.727517798749045
64,True,ddpll,1.1,0.011917787268085506,0.06642431087424558,19.40660170012625,0.011723767880457842,3.5406409858626393
64,True,ddpll,1.3,0.014264873704396523,0.07976564430169766,18.947898693045918,0.013013711727379607,3.404290477523211
64,True,ddpll,1.5000000000000002,0.01708549512347204,0.09649525288532806,18.670760324550496,0.013886701871601827,3.259358283107833
64,True,ddpll,1.7000000000000002,0.024556171249073517,0.13641336956905376,17.810910730282153,0.01684760794832532,2.9394014392066206
64,False,bps,0.3,0.03809456581842139,0.21194366992552854,16.513013453692743,0.022220179201087358,2.4876724563799315
64,False,bps,0.5,0.05024176755020647,0.2743091095189355,15.913064674462724,0.025485918501641697,2.1550906987651848
64,False,bps,0.7,0.061615430769773764,0.32906857727737976,14.993399168909807,0.031425925259702156,1.8790215226248583
64,False,bps,0.9000000000000001,0.045347592324615583,0.25032647442911093,16.097268634371108,0.02445680935802566,2.2833412063954324
64,False,bps,1.1,0.17717267261967787,0.6577312674266756,5.098098492001936,0.28542103007883524,-0.33298194793890784
64,False,bps,1.3,0.0502594148166449,0.27520912010729537,15.794761796203073,0.026224363552115153,2.1546400527774994
64,False,bps,1.5000000000000002,0.08115095471711432,0.41852257085377476,13.926094342902415,0.04010016987691679,1.4531185599327643
64,False,bps,1.7000000000000002,0.08214802527088554,0.4259873645572301,13.874240418200625,0.04062152788851706,1.4325442098245262
64,False,ddpll,0.3,0.044191696372898506,0.2431793315215473,16.0271277914474,0.024830891797625404,2.31466445218249
64,False,ddpll,0.5,0.06234485111589548,0.32834503935340414,14.918837089406942,0.03198505459903012,1.8621681391533524
64,False,ddpll,0.7,0.07655090059883057,0.38820456711255424,13.832923244342552,0.040950772587716594,1.54929074285423
64,False,ddpll,0.9000000000000001,0.05455358298332921,0.2913916634313345,15.305786162172723,0.02930335408485485,2.0472190697603394
64,False,ddpll,1.1,0.08305980070353769,0.4261285426887375,13.650022769037196,0.04270625558817983,1.4138093307091366
64,False,ddpll,1.3,0.06484782173907928,0.3290332827445029,14.19697835127753,0.03775028145216295,1.8049953453598278
64,False,ddpll,1.5000000000000002,0.308659513641337,0.8875516182543324,1.5726425591665707,0.5757306348134958,-3.013310011883725
64,False,ddpll,1.7000000000000002,0.09703937693384627,0.48355274767938444,12.983119709279825,0.049740075252914226,1.1347781806381687
