lspan,BER,Source,CPR,Data_Aided
80,0.0001611111111111111,DPD NN,bps,True
40,0.00018611111111111112,DPD NN,bps,True
20,0.00023611111111111112,DPD NN,bps,True
10,0.0003222222222222222,DPD NN,bps,True
