Modulation,Data_Aided,CPR,mzmScale,BER,SER,SNR,EVM,Qfactor
16,True,bps,0.3,5.277777777777778e-05,0.0002111111111111111,19.15186276292278,0.012282999338028431,5.885465823124678
16,True,bps,0.5,5.277777777777778e-05,0.0002111111111111111,19.085006353708515,0.01247750697409929,5.885465823124678
16,True,bps,0.7,6.944444444444444e-05,0.0002777777777777778,18.981755232877923,0.012783128403698244,5.809407776222129
16,True,bps,0.9000000000000001,7.777777777777778e-05,0.0003111111111111111,18.835010545023216,0.013228359481767586,5.777247956388645
16,True,bps,1.1,0.0001,0.0004,18.633964314615824,0.013859930157552157,5.704281034803938
16,True,bps,1.3,0.0001277777777777778,0.0005111111111111112,18.389446498930283,0.014666126895020323,5.630806938407402
16,True,bps,1.5000000000000002,0.00021666666666666666,0.0008666666666666666,18.083580383340774,0.015733632205749325,5.464074300702619
16,True,bps,1.7000000000000002,0.0003638888888888889,0.0014555555555555556,17.697408053343405,0.01718360509922366,5.287747063355304
16,True,ddpll,0.3,6.666666666666667e-05,0.0002666666666666667,19.077147993601326,0.012492418765433486,5.8208823908506115
16,True,ddpll,0.5,6.666666666666667e-05,0.0002666666666666667,19.00886692818533,0.012694327960805024,5.8208823908506115
16,True,ddpll,0.7,7.222222222222222e-05,0.0002888888888888889,18.901639009897092,0.013016808742837066,5.79832889429428
16,True,ddpll,0.9000000000000001,9.166666666666667e-05,0.00036666666666666667,18.75017973721511,0.013484307801589409,5.729807354789678
16,True,ddpll,1.1,0.00010277777777777778,0.0004111111111111111,18.550079729636437,0.014124907179412309,5.696183977243981
16,True,ddpll,1.3,0.00016944444444444445,0.0006777777777777778,18.29835709697674,0.014970697698210966,5.54319718949257
16,True,ddpll,1.5000000000000002,0.0002666666666666667,0.0010666666666666667,17.982743441911364,0.016095586694626463,5.39506541622816
16,True,ddpll,1.7000000000000002,0.0004138888888888889,0.0016555555555555555,17.594450121287455,0.01758735663913436,5.241799499277099
16,False,bps,0.3,0.0018472222222222223,0.007211111111111111,17.567899123263217,0.017489767293142156,4.628675991584997
16,False,bps,0.5,0.001875,0.007311111111111111,17.51947583092066,0.017688621692023284,4.621673287600469
16,False,bps,0.7,0.0019444444444444444,0.007588888888888889,17.43821831654647,0.01802616871384986,4.604523019436968
16,False,bps,0.9000000000000001,0.002063888888888889,0.008055555555555555,17.322070743482712,0.018518785394386488,4.576136914210571
16,False,bps,1.1,0.0021694444444444443,0.008444444444444444,17.171053645826916,0.019177932670467437,4.5521218257085545
16,False,bps,1.3,0.002325,0.009066666666666667,16.97775233266575,0.020053500211590358,4.518370907809207
16,False,bps,1.5000000000000002,0.002597222222222222,0.010144444444444444,16.73099265257359,0.021224180455086436,4.4633853431113115
16,False,bps,1.7000000000000002,0.0029861111111111113,0.011666666666666667,16.43183850663142,0.02273024891241811,4.392225438077157
16,False,ddpll,0.3,0.0017277777777777777,0.0068111111111111115,17.497379003680035,0.017773722421460046,4.659785979994229
16,False,ddpll,0.5,0.0017583333333333333,0.006922222222222222,17.446780189384896,0.01798467223420346,4.651667166478086
16,False,ddpll,0.7,0.001836111111111111,0.007233333333333333,17.363958293702208,0.0183343004913191,4.6315007107506165
16,False,ddpll,0.9000000000000001,0.0019194444444444445,0.007577777777777778,17.248316405918235,0.01883293183008369,4.6106398129884045
16,False,ddpll,1.1,0.0020277777777777777,0.007988888888888889,17.095815055746645,0.019509761422725782,4.584577341850261
16,False,ddpll,1.3,0.0021666666666666666,0.008544444444444445,16.897932065992475,0.020421621173945633,4.552741759535698
16,False,ddpll,1.5000000000000002,0.002436111111111111,0.0096,16.64780367097252,0.02163037189690508,4.495343411837063
16,False,ddpll,1.7000000000000002,0.002861111111111111,0.011244444444444444,16.344463324733297,0.023187075203287593,4.414261771755272
