Case,lspan,mean_BER
Baseline,10,0.0003516666666666
Baseline,20,0.00027611111111106
Baseline,40,0.00021166666666664003
Baseline,80,0.00020055555555551998
ML,10,0.00015722222222218
ML,20,0.00010222222222220221
ML,40,7e-05
ML,80,6.333333333333333e-05
MP,10,0.00026611111111108
MP,20,0.00020333333333330002
MP,40,0.00014611111111106
MP,80,0.00013277777777774
WH,10,0.00032166666666662
WH,20,0.00023722222222219996
WH,40,0.0001822222222222
WH,80,0.00017111111111108
