P_launch_dBm,Modulation,Data_Aided,CPR,BER,SER,SNR,EVM,Qfactor,Trial:
-10,16,False,bps,0.0011666666666666668,0.004633333333333333,17.952552523636435,0.015978761736558,4.834670475432745,2
-8,16,False,bps,0.0010166666666666666,0.004044444444444444,18.206856042069223,0.015083629596602683,4.893001988590704,2
-6,16,False,bps,0.0009583333333333333,0.003822222222222222,18.377372073149466,0.014512401420335863,4.9176080129079915,2
-4,16,False,bps,0.000925,0.0036888888888888887,18.485089715947474,0.01416297637531126,4.932227194013779,2
-2,16,False,bps,0.0008972222222222222,0.0035666666666666668,18.5474320959626,0.013965138679701486,4.944745234529895,2
0,16,False,bps,0.0008694444444444445,0.0034555555555555555,18.569181765333493,0.013896762291509842,4.957587145139677,2
2,16,False,bps,0.0008805555555555555,0.0035,18.5359119571188,0.014002488651748184,4.952410306729801,2
4,16,False,bps,0.0009472222222222222,0.003766666666666667,18.39350845147587,0.01446251630278202,4.92243389528595,2
6,16,False,bps,0.0012333333333333332,0.004911111111111111,17.98583870316202,0.0158684171844332,4.810699202941428,2
8,16,False,bps,0.002525,0.010066666666666666,17.043588747378756,0.01966981612585631,4.477512074833959,2
-14,16,False,bps,0.0019527777777777777,0.007677777777777778,16.993796170304744,0.019881474125108725,4.6024980606841845,3
-12,16,False,bps,0.001425,0.005633333333333333,17.541609574324738,0.017543194332319288,4.747216710809154,3
-10,16,False,bps,0.0011805555555555556,0.004666666666666667,17.91806418208628,0.016103755968105905,4.829585917805043,3
-8,16,False,bps,0.0010305555555555556,0.004077777777777777,18.17952762512045,0.015176462060785633,4.88731493957782,3
-6,16,False,bps,0.0009861111111111112,0.0039,18.35235454607273,0.01459435439978335,4.905741685378492,3
-4,16,False,bps,0.0009277777777777778,0.0036888888888888887,18.459845844757822,0.014244410140739513,4.930992501867964,3
-2,16,False,bps,0.0008916666666666667,0.0035555555555555557,18.531543201154243,0.014015278325169345,4.947287107571162,3
0,16,False,bps,0.0008527777777777778,0.0034,18.556467904076634,0.013936374421361893,4.96545579434372,3
2,16,False,bps,0.00085,0.0033888888888888888,18.52653662873936,0.014031317039433753,4.966779565572226,3
4,16,False,bps,0.0009166666666666666,0.0036555555555555556,18.38245906158499,0.014498639394686876,4.935949692538907,3
6,16,False,bps,0.0011888888888888889,0.004733333333333333,17.97937834248603,0.01589089692909746,4.826558585346681,3
8,16,False,bps,0.002525,0.010055555555555555,17.039692734113185,0.01968643629901993,4.477512074833959,3
-14,16,False,bps,0.0019333333333333333,0.007688888888888889,16.979032237215645,0.019948828844851167,4.607233783874057,4
-12,16,False,bps,0.0015027777777777778,0.005966666666666667,17.52567868876557,0.017607704012303937,4.723423054001291,4
-10,16,False,bps,0.001213888888888889,0.004844444444444445,17.909202111143824,0.01613689031576293,4.817579342878423,4
-8,16,False,bps,0.0010916666666666666,0.004344444444444444,18.163478231298523,0.015232500005561764,4.863014947602817,4
-6,16,False,bps,0.000975,0.0038666666666666667,18.345826706498723,0.014616422885165794,4.910454810904966,4
-4,16,False,bps,0.0009333333333333333,0.003711111111111111,18.452421816399397,0.014268361022055557,4.928532226359376,4
-2,16,False,bps,0.0008944444444444445,0.0035555555555555557,18.521836843311334,0.01404592814933001,4.946014543021537,4
0,16,False,bps,0.0008611111111111111,0.0034222222222222223,18.55198556915273,0.013950213566105056,4.961505744292058,4
2,16,False,bps,0.0008666666666666666,0.0034444444444444444,18.51848250476216,0.014057169031324514,4.958889885106876,4
4,16,False,bps,0.000925,0.0036777777777777776,18.376033669439302,0.014519556695120136,4.932227194013779,4
6,16,False,bps,0.001225,0.004888888888888889,17.9828708541007,0.01587800269438464,4.813636925133831,4
8,16,False,bps,0.002588888888888889,0.010311111111111111,17.03613915767869,0.01970283591377669,4.464999425722375,4
