Modulation,Data_Aided,CPR,lspan,BER,SER,SNR,EVM,Qfactor,Trial
16,True,bps,80,0.000125,0.0005,19.53489114204419,0.011968104873895883,5.6374916534634885,1
16,True,bps,40,0.00014166666666666668,0.0005666666666666667,19.425390703464608,0.012261208818398563,5.599162023821831,1
16,True,bps,20,0.00020277777777777777,0.0008,19.175671362811244,0.012954224397984184,5.485665386643923,1
16,True,bps,10,0.00025,0.000988888888888889,18.924522575213434,0.013698137506921724,5.416736308826718,1
16,True,bps,80,0.0001361111111111111,0.0005444444444444444,19.52701850364042,0.011995971493679305,5.6114827017938875,2
16,True,bps,40,0.0001388888888888889,0.0005555555555555556,19.433307881686652,0.012238956977877106,5.605268997590345,2
16,True,bps,20,0.00019444444444444443,0.0007777777777777777,19.17309907473507,0.01296704427689944,5.499238024433762,2
16,True,bps,10,0.0002722222222222222,0.0010777777777777778,18.926376652770855,0.013693042441032482,5.388098795930835,2
16,True,bps,80,0.00013333333333333334,0.0005333333333333334,19.53448949297309,0.011971902760145186,5.6178072823602925,3
16,True,bps,40,0.00014722222222222223,0.0005777777777777778,19.430029937693746,0.012247227241905537,5.587252832059656,3
16,True,bps,20,0.0002,0.0007888888888888889,19.173775378126273,0.012958445522733448,5.490135425630951,3
16,True,bps,10,0.00026944444444444444,0.0010666666666666667,18.92454913597376,0.013697566040587864,5.3915667736153905,3
16,True,bps,80,0.00014166666666666668,0.0005666666666666667,19.519677974882732,0.012011491918742418,5.599162023821831,4
16,True,bps,40,0.00014722222222222223,0.0005777777777777778,19.423292709852273,0.012269458580423446,5.587252832059656,4
16,True,bps,20,0.00020833333333333335,0.0008222222222222222,19.167932400016596,0.012980201222701791,5.476880948442293,4
16,True,bps,10,0.0002666666666666667,0.0010666666666666667,18.92258627790219,0.013706285704902949,5.39506541622816,4
16,True,bps,80,0.0001277777777777778,0.0005111111111111112,19.528130652157273,0.011992185516358314,5.630806938407402,5
16,True,bps,40,0.00015555555555555556,0.0006222222222222223,19.422270828715945,0.012272647102714846,5.570098394349201,5
16,True,bps,20,0.0002111111111111111,0.0008444444444444444,19.168636818511516,0.012977271507200822,5.472563955336107,5
16,True,bps,10,0.0002722222222222222,0.0010777777777777778,18.918515129912482,0.013720058925637301,5.388098795930835,5
