Modulation,Data_Aided,CPR,lspan,BER,SER,SNR,EVM,Qfactor,Trial
16,False,bps,80,0.00034166666666666666,0.0013444444444444445,20.66437841338275,0.008774636878966893,5.309907375152431,0
16,False,bps,40,0.00035277777777777776,0.001411111111111111,20.535336219689118,0.009028346006340884,5.298679179430888,0
16,False,bps,20,0.0004,0.0016,20.206569537927805,0.009709487870766283,5.254069717342479,0
16,False,bps,10,0.0004888888888888889,0.0019555555555555554,19.892549198570514,0.010408352248319111,5.180984037581378,0
16,False,bps,80,0.0003027777777777778,0.0012111111111111112,20.669593447971874,0.008765351598628917,5.351818985111853,1
16,False,bps,40,0.0003083333333333333,0.0012333333333333332,20.538612410084344,0.009023589293795481,5.3455608037247995,1
16,False,bps,20,0.00037222222222222225,0.001488888888888889,20.21850983235708,0.00968398315202909,5.279732165384865,1
16,False,bps,10,0.0004527777777777778,0.001788888888888889,19.911788417704003,0.010364369649623593,5.209203289520796,1
16,False,bps,80,0.0003222222222222222,0.001288888888888889,20.666123064910444,0.008772792479844289,5.330325244551385,2
16,False,bps,40,0.0003138888888888889,0.0012555555555555555,20.540819155008535,0.009018874633859525,5.339397871640611,2
16,False,bps,20,0.00038055555555555553,0.0015222222222222221,20.220892310728516,0.00967905429361038,5.2718678514685555,2
16,False,bps,10,0.0004583333333333333,0.0018222222222222223,19.900628120768644,0.01039062688515516,5.204741260326401,2
16,False,bps,80,0.00029444444444444445,0.0011777777777777778,20.676815518834072,0.008751024977253084,5.361392128919638,3
16,False,bps,40,0.00033611111111111114,0.0013333333333333333,20.53866980077643,0.009022202414611854,5.315638157430199,3
16,False,bps,20,0.0003916666666666667,0.0015555555555555555,20.21081226094443,0.009700534726675272,5.261605820609749,3
16,False,bps,10,0.000475,0.001888888888888889,19.902781956236577,0.010384366657649816,5.191623133286859,3
16,False,bps,80,0.00031666666666666665,0.0012555555555555555,20.65640863557679,0.008789228724295784,5.336351137235631,4
16,False,bps,40,0.00034166666666666666,0.0013666666666666666,20.538144237332673,0.009023599682058396,5.309907375152431,4
16,False,bps,20,0.00038333333333333334,0.0015333333333333334,20.221734640623808,0.00967694662847585,5.269278808003972,4
16,False,bps,10,0.00046666666666666666,0.0018666666666666666,19.902262476575256,0.010385523629392351,5.198132889000545,4
