Modulation,BER,SER,SNR,EVM,Qfactor,lspan,Trial
16,0.0001611111111111111,0.0006444444444444444,19.360488744882765,0.011641750056304457,5.559098302379154,80,0
16,0.00018611111111111112,0.0007444444444444445,19.249337301309566,0.011937868509957929,5.513320616212201,40,0
16,0.00023611111111111112,0.0009444444444444445,19.001983761241117,0.012623334627347988,5.4357609004006715,20,0
16,0.0003222222222222222,0.001288888888888889,18.758409981119975,0.013336583723959522,5.330325244551385,10,0
16,0.0001611111111111111,0.0006444444444444444,19.354704476058746,0.011655691298861522,5.559098302379154,80,1
16,0.0001722222222222222,0.0006888888888888888,19.262040696643787,0.011903580594213634,5.538046685034553,40,1
16,0.00023055555555555554,0.0009222222222222222,19.004130050559617,0.01261667355204817,5.443640046070569,20,1
16,0.0003222222222222222,0.001288888888888889,18.756009260759345,0.013343345592832347,5.330325244551385,10,1
16,0.00016944444444444445,0.0006777777777777778,19.358660823833496,0.011646513635174006,5.54319718949257,80,2
16,0.00018333333333333334,0.0007333333333333333,19.25686730771489,0.011917225581714158,5.518135553444017,40,2
16,0.00025,0.001,18.99912676434281,0.012631786863584887,5.416736308826718,20,2
16,0.00031944444444444446,0.0012777777777777779,18.75614835328675,0.0133435323225686,5.333327050852751,10,2
16,0.00019444444444444443,0.0007777777777777777,19.348357827150288,0.011672492665130247,5.499238024433762,80,3
16,0.00018611111111111112,0.0007444444444444445,19.253182521514077,0.011926591437339581,5.513320616212201,40,3
16,0.00024444444444444443,0.0009777777777777777,18.99360923706513,0.012646164288142627,5.424234862102172,20,3
16,0.00031666666666666665,0.0012666666666666666,18.74192479330509,0.013385646029157025,5.336351137235631,10,3
16,0.00016944444444444445,0.0006777777777777778,19.35175390076276,0.011662782024620434,5.54319718949257,80,4
16,0.00018333333333333334,0.0007333333333333333,19.250739134687606,0.011933228492357945,5.518135553444017,40,4
16,0.000225,0.0009,18.995754363609084,0.012640144625851751,5.4516836158848845,20,4
16,0.0003277777777777778,0.0013111111111111112,18.743743451961763,0.013379780985611645,5.324387045673835,10,4
