Case,lspan,Spans,mean_BER,std_BER
Baseline,10,8.0,0.00112444444444438,2.2343419502445672e-05
Baseline,20,4.0,0.00098888888888884,1.9739820004957374e-05
Baseline,40,2.0,0.00088555555555552,2.896091448660279e-05
Baseline,80,1.0,0.0008599999999999601,1.3263707095929177e-05
ML,10,8.0,0.00046833333333328,1.4245423783283712e-05
ML,20,4.0,0.00038555555555552,1.0650160840383868e-05
ML,40,2.0,0.0003305555555555,1.8839805508677196e-05
ML,80,1.0,0.0003155555555555,1.827853764040192e-05
