Modulation,Data_Aided,CPR,Launch Power,BER,SER,SNR,EVM,Qfactor,Trial
16,True,bps,-14,0.0005777777777777778,0.0023,17.693387992846294,0.01816781839384127,5.118338143564807,1
16,True,bps,-12,0.00036666666666666667,0.0014555555555555556,18.324859324595394,0.015726362491723534,5.2850583050576585,1
16,True,bps,-10,0.000225,0.0008888888888888889,18.767848218006392,0.014219576801475578,5.4516836158848845,1
16,True,bps,-8,0.00018333333333333334,0.0007222222222222222,19.072551712368973,0.013271142898580201,5.518135553444017,1
16,True,bps,-6,0.0001722222222222222,0.0006777777777777778,19.27932826170417,0.012668665234360927,5.538046685034553,1
16,True,bps,-4,0.0001361111111111111,0.0005444444444444444,19.41776763398289,0.01228196741115304,5.6114827017938875,1
16,True,bps,-2,0.00013055555555555555,0.0005222222222222222,19.50046292119534,0.012057291542456277,5.624247137417977,1
16,True,bps,0,0.000125,0.0005,19.53488282239544,0.011968127340891067,5.6374916534634885,1
16,True,bps,2,0.000125,0.0005,19.499347330496086,0.012064755923108296,5.6374916534634885,1
16,True,bps,4,0.00014722222222222223,0.0005888888888888889,19.330264440337622,0.01252741701687771,5.587252832059656,1
16,True,bps,6,0.0002777777777777778,0.0011111111111111111,18.831350217338027,0.013990971338006048,5.381252512751765,1
16,True,bps,8,0.0011722222222222223,0.004688888888888889,17.67941067851838,0.01806226087862827,4.832630750490132,1
16,True,bps,-14,0.00065,0.002577777777777778,17.678802298373228,0.01825935333397009,5.073133069278747,2
16,True,bps,-12,0.00039444444444444444,0.0015777777777777778,18.300259252937188,0.015838092091878704,5.259078844791031,2
16,True,bps,-10,0.00028333333333333335,0.0011333333333333334,18.750694448301342,0.014295583378201608,5.3745220872578265,2
16,True,bps,-8,0.00022222222222222223,0.0008888888888888889,19.063990712608778,0.013314326309575982,5.455769449692659,2
16,True,bps,-6,0.00017777777777777779,0.0007111111111111111,19.272001413167906,0.012702028298412197,5.527957026140129,2
16,True,bps,-4,0.0001638888888888889,0.0006555555555555556,19.409683930822453,0.012314555869175493,5.553720620412705,2
16,True,bps,-2,0.00014722222222222223,0.0005888888888888889,19.493400897597358,0.012086890068751263,5.587252832059656,2
16,True,bps,0,0.0001361111111111111,0.0005444444444444444,19.527005344621273,0.011996005545937792,5.6114827017938875,2
16,True,bps,2,0.00013055555555555555,0.0005222222222222222,19.49372946549319,0.012086979351366258,5.624247137417977,2
16,True,bps,4,0.00015,0.0006,19.325773257165572,0.012545467667330229,5.58144342002834,2
16,True,bps,6,0.0002916666666666667,0.0011666666666666668,18.829877461072474,0.013997511890707245,5.364634496961546,2
16,True,bps,8,0.0011805555555555556,0.004722222222222222,17.682547322467787,0.018052413965737164,4.829585917805043,2
16,True,bps,-14,0.0006416666666666667,0.0025555555555555557,17.696237948136595,0.01816414054413945,5.0781283968788715,3
16,True,bps,-12,0.0003611111111111111,0.0014333333333333333,18.323245572300294,0.015743906921485466,5.290453274710645,3
16,True,bps,-10,0.00025833333333333334,0.0010333333333333334,18.768658169394662,0.01422941318598856,5.405751451789927,3
16,True,bps,-8,0.00020833333333333335,0.0008333333333333334,19.076106700451238,0.013272569580290489,5.476880948442293,3
16,True,bps,-6,0.00016944444444444445,0.0006777777777777778,19.281589377980282,0.012668878933229755,5.54319718949257,3
16,True,bps,-4,0.00015,0.0006,19.415735418861058,0.012293124774699307,5.58144342002834,3
16,True,bps,-2,0.00014722222222222223,0.0005888888888888889,19.497333205081834,0.012071249149351827,5.587252832059656,3
16,True,bps,0,0.00013333333333333334,0.0005333333333333334,19.53449622106794,0.011971885555268074,5.6178072823602925,3
16,True,bps,2,0.00014166666666666668,0.0005666666666666667,19.499837348365844,0.012065238169482967,5.599162023821831,3
16,True,bps,4,0.00015,0.0006,19.32472758920626,0.01254231142200358,5.58144342002834,3
16,True,bps,6,0.0002861111111111111,0.0011444444444444445,18.82578684217758,0.01400489251081353,5.37119899052637,3
16,True,bps,8,0.001186111111111111,0.004744444444444444,17.683083527260223,0.018043614369387662,4.827565765795929,3
16,True,bps,-14,0.0007027777777777778,0.002766666666666667,17.678020424813155,0.01824786088593688,5.04267977000599,4
16,True,bps,-12,0.00040555555555555554,0.0016111111111111111,18.299057462183196,0.015818504332777445,5.2491190689697635,4
16,True,bps,-10,0.0002777777777777778,0.0010888888888888888,18.743091675678482,0.01432263075058404,5.381252512751765,4
16,True,bps,-8,0.0002138888888888889,0.0008333333333333334,19.05233155480341,0.013349647531778303,5.468295465414413,4
16,True,bps,-6,0.00018611111111111112,0.0007222222222222222,19.26283670175545,0.012727822161317778,5.513320616212201,4
16,True,bps,-4,0.00016666666666666666,0.0006555555555555556,19.398591089086143,0.012342447329275932,5.548421061125369,4
16,True,bps,-2,0.00014444444444444444,0.0005777777777777778,19.48678342411664,0.012099678603410453,5.5931578676600875,4
16,True,bps,0,0.00014166666666666668,0.0005666666666666667,19.519678064975338,0.012011491706960658,5.599162023821831,4
16,True,bps,2,0.00014166666666666668,0.0005666666666666667,19.487373723409448,0.012100089008461915,5.599162023821831,4
16,True,bps,4,0.00015277777777777777,0.0006111111111111111,19.314677812871043,0.012573252583391797,5.575726320312876,4
16,True,bps,6,0.0002777777777777778,0.0011111111111111111,18.821376319418363,0.014021603861960552,5.381252512751765,4
16,True,bps,8,0.0012194444444444444,0.004877777777777778,17.67678422996648,0.018071608203162053,4.815604472026323,4
16,True,bps,-14,0.0006055555555555556,0.0024,17.66836819040278,0.018303310302640746,5.100421112870767,5
16,True,bps,-12,0.00036944444444444443,0.0014555555555555556,18.29697059232076,0.01585423221264429,5.282386752922465,5
16,True,bps,-10,0.0002611111111111111,0.0010222222222222223,18.744372393666414,0.014317456467250446,5.402157124811037,5
16,True,bps,-8,0.00017777777777777779,0.0006888888888888888,19.056741189808555,0.013335140998953974,5.527957026140129,5
16,True,bps,-6,0.0001611111111111111,0.0006222222222222223,19.26375118906809,0.01272510951215092,5.559098302379153,5
16,True,bps,-4,0.00015555555555555556,0.0006111111111111111,19.401990903455633,0.012334097063238297,5.570098394349201,5
16,True,bps,-2,0.00014722222222222223,0.0005777777777777778,19.485580468756126,0.012104969641973247,5.587252832059656,5
