Modulation,Data_Aided,CPR,lspan,BER,SER,SNR,EVM,Qfactor,Trial
16,False,bps,80,0.000875,0.003477777777777778,18.559629729078324,0.013927153759511873,4.954991941981471,0
16,False,bps,40,0.0009,0.003577777777777778,18.479649820409833,0.01418222184883226,4.94347916337258,0
16,False,bps,20,0.001011111111111111,0.004022222222222222,18.276055095171547,0.014853337112225624,4.895294681641546,0
16,False,bps,10,0.0011555555555555555,0.004588888888888889,18.06777324761758,0.015573260620430808,4.838773847395317,0
16,False,bps,80,0.0008416666666666667,0.0033333333333333335,18.558456462125648,0.013929847317359578,4.970772446244453,1
16,False,bps,40,0.0008805555555555555,0.0035,18.479809829495025,0.014182067087504423,4.952410306729801,1
16,False,bps,20,0.0009666666666666667,0.003833333333333333,18.280915525619545,0.014836203167605899,4.914018729040396,1
16,False,bps,10,0.0011027777777777778,0.004377777777777778,18.080167969525668,0.015529045496356846,4.8587171457953096,1
16,False,bps,80,0.0008694444444444445,0.0034555555555555555,18.569181765333493,0.013896762291509842,4.957587145139677,2
16,False,bps,40,0.0008611111111111111,0.0034222222222222223,18.481046783835883,0.014178007691867974,4.961505744292058,2
16,False,bps,20,0.0009805555555555555,0.0039,18.280032044513217,0.014840276576379898,4.908092758896696,2
16,False,bps,10,0.0011333333333333334,0.0045,18.07899566761349,0.015533224690901076,4.847078294575978,2
16,False,bps,80,0.0008527777777777778,0.0034,18.556467904076634,0.013936374421361893,4.96545579434372,3
16,False,bps,40,0.0008583333333333333,0.0034111111111111113,18.482305496040617,0.014173152029180508,4.962818905069328,3
16,False,bps,20,0.0009777777777777777,0.0038777777777777777,18.273309870249502,0.014861929619441484,4.909272405350346,3
16,False,bps,10,0.0011277777777777777,0.004488888888888889,18.068167837514675,0.015571516584777617,4.849175192776116,3
16,False,bps,80,0.0008611111111111111,0.0034222222222222223,18.55198556915273,0.013950213566105056,4.961505744292058,4
16,False,bps,40,0.0009277777777777778,0.0036888888888888887,18.47727016926809,0.014189811232469162,4.930992501867964,4
16,False,bps,20,0.0010083333333333333,0.004011111111111111,18.272695553358623,0.014864408918610402,4.896444910297926,4
16,False,bps,10,0.0011027777777777778,0.004377777777777778,18.072359483888146,0.015556375460949033,4.8587171457953096,4
