Modulation,Data_Aided,CPR,lspan,BER,SER,SNR,EVM,Qfactor,Trial
16,True,bps,80,0.00019722222222222222,0.0007888888888888889,19.4565608733692,0.011383206996186432,5.494659160915748,0
16,True,bps,40,0.00019722222222222222,0.0007888888888888889,19.359051074043407,0.011636379108516795,5.494659160915748,0
16,True,bps,20,0.0002722222222222222,0.0010888888888888888,19.106971435708584,0.01231854195871525,5.388098795930835,0
16,True,bps,10,0.00035555555555555557,0.0014222222222222223,18.86146784406477,0.013020613698125688,5.295919071792536,0
16,True,bps,80,0.00019166666666666667,0.0007666666666666667,19.448345634161395,0.011403399800368712,5.503873507584908,1
16,True,bps,40,0.0002,0.0008,19.35838355950604,0.011638538671805658,5.490135425630951,1
16,True,bps,20,0.00026388888888888886,0.0010555555555555555,19.10833535700647,0.012313593438956993,5.398595326316492,1
16,True,bps,10,0.00034166666666666666,0.0013666666666666666,18.864524209749675,0.01301172660590899,5.309907375152429,1
16,True,bps,80,0.00018888888888888888,0.0007555555555555555,19.460148266531053,0.011373567350458772,5.508567164610058,2
16,True,bps,40,0.00020277777777777777,0.0008111111111111111,19.35753375829307,0.011640481702337292,5.485665386643923,2
16,True,bps,20,0.000275,0.0011,19.104317276367,0.01232588518597186,5.384660898284203,2
16,True,bps,10,0.0003277777777777778,0.0013111111111111112,18.863294664673656,0.013015393458315356,5.324387045673835,2
16,True,bps,80,0.000225,0.0009,19.44588780909706,0.01140976490672873,5.4516836158848845,3
16,True,bps,40,0.000225,0.0009,19.34656605484686,0.011669019848222238,5.4516836158848845,3
16,True,bps,20,0.0002888888888888889,0.0011555555555555555,19.099373810911487,0.01233884031420473,5.367903291206661,3
16,True,bps,10,0.00036944444444444443,0.0014777777777777777,18.85396574642007,0.013042682743738253,5.282386752922465,3
16,True,bps,80,0.0002,0.0008,19.447273288894163,0.011405664457906483,5.490135425630951,4
16,True,bps,40,0.00023333333333333333,0.0009333333333333333,19.34980881950311,0.01166016916444252,5.4396803816841155,4
16,True,bps,20,0.00028055555555555554,0.0011222222222222222,19.09993726309019,0.01233712129128828,5.3778730877194905,4
16,True,bps,10,0.0003638888888888889,0.0014555555555555556,18.85517228594406,0.013038598559680242,5.287747063355304,4
