Modulation,Data_Aided,CPR,lspan,BER,SER,SNR,EVM,Qfactor,Trial
16,True,bps,80,6.666666666666667e-05,0.0002666666666666667,21.901227324482985,0.006692781538479182,5.8208823908506115,0
16,True,bps,40,6.38888888888889e-05,0.0002555555555555556,21.729254919224946,0.006949518318029664,5.8327845706990855,0
16,True,bps,20,0.00010833333333333333,0.0004333333333333333,21.299215591290622,0.007635073309162528,5.68054594380675,0
16,True,bps,10,0.00015277777777777777,0.0006111111111111111,20.898538446830575,0.008335277311432564,5.575726320312876,0
16,True,bps,80,6.111111111111111e-05,0.00024444444444444443,21.907549904120984,0.00668601694515191,5.845150243823638,1
16,True,bps,40,6.38888888888889e-05,0.0002555555555555556,21.737827892431724,0.006938268099292803,5.8327845706990855,1
16,True,bps,20,9.444444444444444e-05,0.00037777777777777777,21.310379553696194,0.007616255145342415,5.72108139892052,1
16,True,bps,10,0.00014722222222222223,0.0005888888888888889,20.905511871187343,0.008323013380649,5.587252832059656,1
16,True,bps,80,5.555555555555556e-05,0.00022222222222222223,21.895591348979,0.006702056058787734,5.871440891786431,2
16,True,bps,40,7.222222222222222e-05,0.0002888888888888889,21.72576155073534,0.006956004772607425,5.79832889429428,2
16,True,bps,20,9.166666666666667e-05,0.00036666666666666667,21.3049459303123,0.007625310634534164,5.729807354789678,2
16,True,bps,10,0.00015,0.0006,20.897774828988695,0.008337651603986645,5.58144342002834,2
16,True,bps,80,6.111111111111111e-05,0.00024444444444444443,21.904452901343863,0.006688838512967599,5.845150243823638,3
16,True,bps,40,7.777777777777778e-05,0.0003111111111111111,21.729011823343058,0.006950168557589763,5.777247956388645,3
16,True,bps,20,0.00010555555555555555,0.0004222222222222222,21.29606911216211,0.007639871238742921,5.688275367571826,3
16,True,bps,10,0.0001638888888888889,0.0006555555555555556,20.893366842402926,0.00834488438485155,5.553720620412705,3
16,True,bps,80,7.222222222222222e-05,0.0002888888888888889,21.90536489072887,0.006686244817939786,5.79832889429428,4
16,True,bps,40,7.222222222222222e-05,0.0002888888888888889,21.731346522894434,0.006946489356886326,5.79832889429428,4
16,True,bps,20,0.00011111111111111112,0.00044444444444444447,21.30522472800739,0.007624228930009493,5.672987123836993,4
16,True,bps,10,0.0001722222222222222,0.0006888888888888888,20.90220086579994,0.008328322920237578,5.538046685034553,4
